store_id,nearest_station_id,distance
402,00008837,296
403,00004254,277
404,00007297,311
405,00004212,231
406,00005077,180
407,00001740,160
408,00007018,360
409,00001824,309
410,00005947,358
411,00005767,94
412,00005079,100
413,00005070,285
414,00001262,63
415,00004254,316
416,00005069,116
417,00004927,180
418,00005946,180
419,00001193,96
420,00005644,237
421,00009223,264
422,00006547,286
423,00006495,233
424,00006137,307
425,00003544,302
426,00001303,381
427,00004254,303
428,00003544,296
429,00005947,368
430,00009098,265
431,00006137,206
432,00004212,265
433,00003544,227
434,00004450,473
435,00002025,144
436,00005069,101
437,00001715,212
438,00006495,251
439,00005069,201
440,00003544,290
441,00005718,72
442,00006194,380
443,00005947,397
444,00005630,142
445,00009783,141
446,00004473,313
447,00005947,360
448,00004927,310
449,00001909,202
450,00009217,110
451,00005077,189
452,00005508,224
453,00007626,407
454,00006137,238
455,00004212,228
456,00002025,249
457,00004212,141
458,00009225,268
459,00008061,192
460,00003544,539
461,00003544,487
462,00005947,248
463,00008527,237
464,00006194,359
465,00001740,157
466,00004464,207
467,00001556,197
468,00006139,128
469,00007018,238
470,00003544,426
471,00009215,183
472,00004212,326
473,00005947,388
474,00001908,190
475,00006194,342
476,00008684,400
477,00007626,332
478,00007626,245
479,00003658,128
480,00004256,389
481,00004212,313
482,00008702,338
483,00005509,164
484,00004256,257
485,00003494,318
486,00001715,118
487,00007508,324
488,00002025,130
489,00007201,84
490,00004927,91
491,00004212,200
492,00005517,244
493,00005630,258
494,00007626,189
495,00009444,176
496,00005718,54
497,00001262,155
498,00004256,212
499,00005271,196
500,00004927,74
501,00004212,164
502,00003040,286
503,00005767,56
504,00004212,177
505,00000997,154
506,00001824,381
507,00003202,350
508,00008992,559
509,00007508,324
510,00004927,178
511,00004450,505
512,00008837,138
513,00004927,186
514,00007825,322
515,00007038,274
516,00005630,184
517,00004927,251
518,00002296,54
519,00004212,159
520,00004464,46
521,00002964,250
522,00002025,148
523,00007626,425
524,00004927,128
525,00001908,260
526,00004464,251
527,00005466,107
528,00004464,148
529,00003735,43
530,00009227,99
531,00002244,212
532,00006133,74
533,00004212,230
534,00003710,289
535,00007964,151
536,00007825,381
537,00003494,140
538,00006495,229
539,00004972,227
540,00002025,89
541,00002616,304
542,00004212,264
543,00000148,100
544,00001921,33
545,00009210,370
546,00003658,112
547,00009225,156
548,00006137,179
549,00006495,314
550,00004464,81
551,00006133,139
552,00007548,108
553,00002025,207
554,00003202,210
555,00003004,126
556,00008051,40
557,00003544,283
558,00003330,154
559,00004927,192
560,00004927,228
561,00004450,376
562,00009060,214
563,00005613,167
564,00007820,355
565,00008355,92
566,00004212,172
567,00004360,117
568,00003710,425
569,00008702,138
570,00006133,228
571,00004464,246
572,00009225,55
573,00005079,110
574,00004256,389
575,00004473,289
576,00004212,203
577,00004927,223
578,00003004,188
579,00002300,81
580,00005614,222
581,00008702,207
582,00007297,169
583,00001443,336
584,00005614,147
585,00005901,284
586,00002025,107
587,00003004,575
588,00002964,143
589,00005947,376
590,00003330,88
591,00004067,115
592,00006668,109
593,00007926,81
594,00004256,168
595,00002025,131
596,00008051,81
597,00005506,135
598,00007018,252
599,00009773,406
600,00005517,133
601,00005517,209
602,00006137,332
603,00005947,289
604,00004212,344
605,00005641,157
606,00005947,455
607,00005630,42
608,00009098,70
609,00009220,194
610,00003494,481
611,00008992,140
612,00001277,131
613,00005947,259
614,00001303,141
615,00008837,150
616,00009318,286
617,00005614,195
618,00004212,188
619,00001740,134
620,00006495,78
621,00006676,174
622,00006133,90
623,00004473,379
624,00009783,354
625,00006668,318
626,00005077,170
627,00005947,342
628,00002071,104
629,00001909,306
630,00002025,211
631,00007201,452
632,00007297,187
633,00002025,324
634,00006149,77
635,00008355,252
636,00004256,352
637,00009215,133
638,00002616,311
639,00001725,174
640,00002071,239
641,00003176,404
642,00001740,170
643,00005517,88
644,00004212,225
645,00004927,197
646,00002025,283
647,00007825,173
648,00007626,335
649,00004435,377
650,00009098,179
651,00001522,57
652,00005947,238
653,00005767,92
654,00005079,76
655,00002212,270
656,00001711,156
657,00008991,114
658,00006784,289
659,00004492,165
660,00009217,184
661,00008684,110
662,00006668,321
663,00003004,260
664,00007508,217
665,00004256,91
666,00005975,294
667,00005069,126
668,00001824,381
669,00004302,115
670,00009222,103
671,00006676,228
672,00001556,242
673,00008657,385
674,00007297,120
675,00005947,462
676,00007820,220
677,00004492,128
678,00003040,402
679,00008598,448
680,00004464,127
681,00005271,93
682,00001556,114
683,00003544,427
684,00004450,118
685,00004464,118
686,00002300,140
687,00004633,159
688,00007297,289
689,00007297,99
690,00006495,180
691,00009210,353
692,00004212,325
693,00007548,269
694,00007594,284
695,00008991,143
696,00003004,433
697,00001740,161
698,00004464,177
699,00003582,394
700,00002244,108
701,00004212,137
702,00009217,145
703,00005641,439
704,00003544,372
705,00008355,146
706,00007290,171
707,00008866,524
708,00004212,262
709,00005947,408
710,00004255,302
711,00007018,289
712,00005079,173
713,00004927,199
714,00005947,363
715,00004212,173
716,00004927,238
717,00004212,313
718,00004927,105
719,00005947,368
720,00004070,142
721,00006137,260
722,00004464,181
723,00004473,274
724,00001908,177
725,00001824,241
726,00007018,342
727,00005767,255
728,00002964,329
729,00007626,148
